subject_id,comparison,classifier,accuracy_mean,accuracy_std,n_outer_folds
irene,rest1_vs_type1,KFDA,0.7166666666666667,0.09501461875826149,5
irene,rest1_vs_type1,LDA,0.7333333333333333,0.190029237516523,5
irene,rest1_vs_type1,RBF-SVM,0.7666666666666667,0.123603308118261,5
irene,rest2_vs_type2,KFDA,0.7666666666666667,0.10865337342004415,5
irene,rest2_vs_type2,LDA,0.7,0.11180339887498947,5
irene,rest2_vs_type2,RBF-SVM,0.75,0.10206207261596578,5
jh,rest1_vs_type1,KFDA,0.7166666666666667,0.12638125740085918,5
jh,rest1_vs_type1,LDA,0.6666666666666666,0.19543398999264291,5
jh,rest1_vs_type1,RBF-SVM,0.6166666666666666,0.15138251770487457,5
jh,rest2_vs_type2,KFDA,0.6166666666666666,0.16244657241348276,5
jh,rest2_vs_type2,LDA,0.6166666666666666,0.11180339887498948,5
jh,rest2_vs_type2,RBF-SVM,0.6333333333333334,0.1728036779443977,5
lin,rest1_vs_type1,KFDA,0.9333333333333333,0.10865337342004415,5
lin,rest1_vs_type1,LDA,0.9166666666666666,0.05892556509887893,5
lin,rest1_vs_type1,RBF-SVM,0.9333333333333333,0.0697216688778396,5
lin,rest2_vs_type2,KFDA,0.8333333333333333,0.11785113019775792,5
lin,rest2_vs_type2,LDA,0.8333333333333334,0.11785113019775792,5
lin,rest2_vs_type2,RBF-SVM,0.8333333333333334,0.08333333333333329,5
pftest,rest1_vs_type1,KFDA,0.95,0.045643546458763874,5
pftest,rest1_vs_type1,LDA,0.95,0.045643546458763874,5
pftest,rest1_vs_type1,RBF-SVM,0.95,0.045643546458763874,5
pftest,rest2_vs_type2,KFDA,0.8333333333333334,0.05892556509887895,5
pftest,rest2_vs_type2,LDA,0.8333333333333334,0.0833333333333333,5
pftest,rest2_vs_type2,RBF-SVM,0.8333333333333334,0.0833333333333333,5
yen,rest1_vs_type1,KFDA,0.8,0.13944333775567924,5
yen,rest1_vs_type1,LDA,0.75,0.2568505834570407,5
yen,rest1_vs_type1,RBF-SVM,0.8166666666666667,0.10865337342004415,5
yen,rest2_vs_type2,KFDA,0.5333333333333334,0.09501461875826153,5
yen,rest2_vs_type2,LDA,0.5666666666666667,0.1086533734200441,5
yen,rest2_vs_type2,RBF-SVM,0.5166666666666667,0.06972166887783965,5
