comparison,feature,selection_count
rest1_vs_type1,PLV__Fz__F8__alpha,5
rest1_vs_type1,PLV__F3__F4__alpha,3
rest1_vs_type1,BP__F4__beta_low,2
rest1_vs_type1,PLV__F3__Fz__alpha,2
rest1_vs_type1,PLV__F7__F8__beta_low,2
rest1_vs_type1,PLV__FP2__F7__alpha,2
rest1_vs_type1,BP__F3__beta_low,1
rest1_vs_type1,BP__FP2__beta_high,1
rest1_vs_type1,PLV__F3__F4__beta_high,1
rest1_vs_type1,PLV__F3__Fz__delta,1
rest1_vs_type1,PLV__F7__F3__beta_high,1
rest1_vs_type1,PLV__F7__F4__theta,1
rest1_vs_type1,PLV__F7__F8__delta,1
rest1_vs_type1,PLV__F7__Fz__beta_high,1
rest1_vs_type1,PLV__FP1__F3__delta,1
rest1_vs_type1,PLV__FP1__F7__beta_high,1
rest1_vs_type1,PLV__FP1__FP2__alpha,1
rest1_vs_type1,PLV__FP1__FP2__beta_low,1
rest1_vs_type1,PLV__FP1__Fz__beta_high,1
rest1_vs_type1,PLV__FP1__Fz__theta,1
rest1_vs_type1,PLV__FP2__F3__beta_low,1
rest1_vs_type1,PLV__FP2__F3__delta,1
rest1_vs_type1,PLV__FP2__F3__theta,1
rest1_vs_type1,PLV__FP2__Fz__gamma,1
rest1_vs_type1,PLV__Fz__F4__beta_low,1
rest1_vs_type1,PLV__Fz__F4__gamma,1
rest2_vs_type2,PLV__F7__F3__alpha,3
rest2_vs_type2,PLV__FP1__F3__beta_high,2
rest2_vs_type2,BP__F7__alpha,1
rest2_vs_type2,PLV__F3__F8__alpha,1
rest2_vs_type2,PLV__F3__Fz__delta,1
rest2_vs_type2,PLV__F4__F8__alpha,1
rest2_vs_type2,PLV__FP1__F4__alpha,1
rest2_vs_type2,PLV__FP1__F4__delta,1
rest2_vs_type2,PLV__FP1__F4__theta,1
rest2_vs_type2,PLV__FP1__F8__alpha,1
rest2_vs_type2,PLV__Fz__F4__alpha,1
rest2_vs_type2,PLV__Fz__F8__delta,1
rest2_vs_type2,PLV__Fz__F8__theta,1
