held_out_subject,comparison,outer_fold,classifier,accuracy,n_selected_features,selected_features,sfs_inner_accuracy,grid_inner_accuracy,best_params
irene,rest1_vs_type1,1,LDA,0.7166666666666667,5,PLV__Fz__F8__alpha;PLV__F3__Fz__alpha;PLV__FP2__F7__alpha;PLV__F3__F4__alpha;COH__F7__F8__alpha,0.8208333333333333,,{}
irene,rest1_vs_type1,1,RBF-SVM,0.7,5,PLV__Fz__F8__alpha;PLV__F3__Fz__alpha;PLV__FP2__F7__alpha;PLV__F3__F4__alpha;COH__F7__F8__alpha,0.8208333333333333,0.7833333333333334,"{""clf__C"": 50.0, ""clf__gamma"": 0.007604489997873477}"
irene,rest1_vs_type1,1,KFDA,0.7166666666666667,5,PLV__Fz__F8__alpha;PLV__F3__Fz__alpha;PLV__FP2__F7__alpha;PLV__F3__F4__alpha;COH__F7__F8__alpha,0.8208333333333333,0.7875000000000001,"{""clf__C"": 100.0, ""clf__gamma"": 0.053535523746494146}"
jh,rest1_vs_type1,2,LDA,0.6166666666666667,10,COH__Fz__F8__alpha;BP__F8__theta;COH__FP1__F3__alpha;PLV__FP2__F7__alpha;COH__FP1__F3__theta;PLV__F7__F3__alpha;PLV__FP1__Fz__beta_low;PLV__FP1__F7__gamma;COH__FP2__F4__delta;COH__Fz__F8__theta,0.8458333333333333,,{}
jh,rest1_vs_type1,2,RBF-SVM,0.6166666666666667,10,COH__Fz__F8__alpha;BP__F8__theta;COH__FP1__F3__alpha;PLV__FP2__F7__alpha;COH__FP1__F3__theta;PLV__F7__F3__alpha;PLV__FP1__Fz__beta_low;PLV__FP1__F7__gamma;COH__FP2__F4__delta;COH__Fz__F8__theta,0.8458333333333333,0.8041666666666667,"{""clf__C"": 10.0, ""clf__gamma"": 0.007604489997873477}"
jh,rest1_vs_type1,2,KFDA,0.6,10,COH__Fz__F8__alpha;BP__F8__theta;COH__FP1__F3__alpha;PLV__FP2__F7__alpha;COH__FP1__F3__theta;PLV__F7__F3__alpha;PLV__FP1__Fz__beta_low;PLV__FP1__F7__gamma;COH__FP2__F4__delta;COH__Fz__F8__theta,0.8458333333333333,0.8291666666666666,"{""clf__C"": 1000.0, ""clf__gamma"": 0.007604489997873477}"
lin,rest1_vs_type1,3,LDA,0.6,10,PLV__Fz__F8__alpha;PLV__F3__F4__alpha;COH__F7__F4__alpha;COH__F3__F4__beta_high;PLV__FP1__FP2__beta_high;PLV__F7__F8__beta_low;PLV__F7__F8__alpha;COH__FP1__F7__beta_high;COH__FP2__F8__beta_high;COH__FP2__F3__alpha,0.8958333333333334,,{}
lin,rest1_vs_type1,3,RBF-SVM,0.6166666666666667,10,PLV__Fz__F8__alpha;PLV__F3__F4__alpha;COH__F7__F4__alpha;COH__F3__F4__beta_high;PLV__FP1__FP2__beta_high;PLV__F7__F8__beta_low;PLV__F7__F8__alpha;COH__FP1__F7__beta_high;COH__FP2__F8__beta_high;COH__FP2__F3__alpha,0.8958333333333334,0.8416666666666667,"{""clf__C"": 10.0, ""clf__gamma"": 0.007604489997873477}"
lin,rest1_vs_type1,3,KFDA,0.6333333333333333,10,PLV__Fz__F8__alpha;PLV__F3__F4__alpha;COH__F7__F4__alpha;COH__F3__F4__beta_high;PLV__FP1__FP2__beta_high;PLV__F7__F8__beta_low;PLV__F7__F8__alpha;COH__FP1__F7__beta_high;COH__FP2__F8__beta_high;COH__FP2__F3__alpha,0.8958333333333334,0.8291666666666667,"{""clf__C"": 1000.0, ""clf__gamma"": 0.007604489997873477}"
pftest,rest1_vs_type1,4,LDA,0.6833333333333333,7,PLV__Fz__F8__alpha;PLV__F3__F4__alpha;PLV__FP2__F7__alpha;PLV__F7__F8__delta;COH__FP1__FP2__beta_low;COH__F3__F8__alpha;PLV__FP1__F4__delta,0.8,,{}
pftest,rest1_vs_type1,4,RBF-SVM,0.6333333333333333,7,PLV__Fz__F8__alpha;PLV__F3__F4__alpha;PLV__FP2__F7__alpha;PLV__F7__F8__delta;COH__FP1__FP2__beta_low;COH__F3__F8__alpha;PLV__FP1__F4__delta,0.8,0.7583333333333333,"{""clf__C"": 10.0, ""clf__gamma"": 0.007604489997873477}"
pftest,rest1_vs_type1,4,KFDA,0.6333333333333333,7,PLV__Fz__F8__alpha;PLV__F3__F4__alpha;PLV__FP2__F7__alpha;PLV__F7__F8__delta;COH__FP1__FP2__beta_low;COH__F3__F8__alpha;PLV__FP1__F4__delta,0.8,0.7666666666666666,"{""clf__C"": 100.0, ""clf__gamma"": 0.03286616756321879}"
yen,rest1_vs_type1,5,LDA,0.8166666666666667,10,PLV__Fz__F8__alpha;PLV__F7__F3__beta_high;COH__FP2__Fz__gamma;PLV__FP2__Fz__gamma;BP__Fz__beta_low;BP__F7__beta_low;COH__F3__F8__delta;PLV__F3__Fz__alpha;PLV__FP1__Fz__beta_high;COH__FP2__F7__delta,0.8833333333333333,,{}
yen,rest1_vs_type1,5,RBF-SVM,0.7333333333333333,10,PLV__Fz__F8__alpha;PLV__F7__F3__beta_high;COH__FP2__Fz__gamma;PLV__FP2__Fz__gamma;BP__Fz__beta_low;BP__F7__beta_low;COH__F3__F8__delta;PLV__F3__Fz__alpha;PLV__FP1__Fz__beta_high;COH__FP2__F7__delta,0.8833333333333333,0.8166666666666667,"{""clf__C"": 100.0, ""clf__gamma"": 0.007604489997873477}"
